date,symbol,eps,epsEstimated,time,revenue,revenueEstimated,fiscalDateEnding,updatedFromDate
2018-01-31,BZ.V,-0.019880000000000002,,bmo,,,2018-01-31,2023-10-17
2018-01-31,BLO.CN,-0.0036500000000000005,,bmo,,,2018-01-31,2023-10-17
2018-01-31,BNTOF,7.51,,bmo,,,2018-06-30,2023-05-17
2018-01-31,CUSN.L,-0.013560000000000001,,bmo,,,2018-01-31,2023-10-17
2018-01-31,FNAU.CN,-0.021400000000000002,,bmo,,,2018-01-31,2023-10-17
2018-01-31,1942.T,14.0,14.3,bmo,131239000000.0,,2017-10-31,2023-10-17
2018-01-31,ELISA.HE,0.45,0.43,bmo,472500000.0,,2017-12-30,2023-05-17
2018-01-31,ELUX-B.ST,6.67,4.58,bmo,32366000000.0,,2017-12-30,2023-05-17
2018-01-31,NELLY.ST,0.29,0.39,bmo,631000000.0,,2017-12-30,2023-05-17
2018-01-31,BDR.CN,-0.01084,,bmo,9896.0,,2018-01-31,2023-10-16
2018-01-31,CDNS,0.39,0.39,amc,501722000.0,501700000.0,2017-12-29,2023-09-29
2018-01-31,SPMT.CN,-0.00352,,bmo,,,2018-01-31,2023-10-17
2018-01-31,BETS.CN,-0.01233,,bmo,,,2018-01-31,2023-10-16
